,id,date,time,tweet,language
0,1517568560318590977,2022-04-23,01:18:34,the traffic light talking to taylor swift when she asked if it would be alright   https://t.co/1VoT5z0Nql,en
1,1517567366745530371,2022-04-23,01:13:49,"Artists who won the most #EMAs  #1. Lady gaga — 12 wins #2. Britney spears , Taylor swift — 8 wins #3. Beyonce — 7 wins  https://t.co/L9tmITFudI",en
2,1517567172431826951,2022-04-23,01:13:03,Really weird that there are so many interactions between Taylor Swift and other artists these days... Something big is coming up? 👀👀👀  https://t.co/hoPsQr0UV4,en
3,1517566804721541120,2022-04-23,01:11:35,@DeepanshiKukkar @riyaputashnstan @riyaputation @loverkhush @sushi_hehe @swiftweetie @Shreya_1202 @TaylorsLostSon @TarunSharma0009 @Brishti119 @taylena1D1328 @timmi_loml @tayseyzaycie @HappinessTaylo3 @bernie_tay_ot5 @folkpiedpiper @alltooneihal @madhuLovesTay @epiphany_ks @Swiftconic13 @Evanthe181 @fearlesslyAn @star_dust_22 @IAMvDroid13 @delicatecowboyy @simp4nar @taylorswift13 @SharmaUnmesha I love and appreciate all of you. Thank you for being here &lt;3,en
4,1517566206831644674,2022-04-23,01:09:13,.@taylorswift13 places 4 albums on this week's UK Albums Chart Top 100 (@officialcharts):  #43(+3) 1989 [247 weeks] #51(-1) folklore [91 weeks] #60(+4) Lover [122 weeks] #63(-1) #RedTaylorsVersion [23 weeks],en
5,1517565903260602374,2022-04-23,01:08:01,make the song of the summer u cowards @Drake @taylorswift13,en
6,1517565773052534784,2022-04-23,01:07:29,max verstappen as a taylor swift song lyrics a thread 😌  https://t.co/7VkeyqumAI,en
7,1517564948343582720,2022-04-23,01:04:13,mingyu wants to collab with the weeknd and not taylor swift you heard that swiftiedaengies,en
8,1517564320770674688,2022-04-23,01:01:43,@arianacvmrvg @chrisbejt @chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem We see the ponytail,en
9,1517564258652983297,2022-04-23,01:01:28,@TECHI_tw @arianacvmrvg @chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem Worry about Taylor outstreaming gaga + Katy more than triple daily despite debuting before both,en
10,1517563837154611200,2022-04-23,00:59:48,@arianacvmrvg @chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem Omg so Ariana? 🥺  https://t.co/yOdfyLB4SB,en
11,1517563574012583936,2022-04-23,00:58:45,@77Eph @chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem And nothing for Ari and Nicki,en
12,1517563564600528904,2022-04-23,00:58:43,taylor swift de gilmore girls evreninde yasiyo benim gibi,tr
13,1517563485898645504,2022-04-23,00:58:24,@chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem i don't see the 40 yo female rapper,en
14,1517563470467809282,2022-04-23,00:58:20,@chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem abel and kanye carried the list,en
15,1517563465052868609,2022-04-23,00:58:19,@chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem I dont see 6ix9ine,en
16,1517563446010822657,2022-04-23,00:58:15,@chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem I don't see nicki with her 96965959 songs,en
17,1517563383565926402,2022-04-23,00:58:00,Most streamed artists on global Spotify (April 21): #1 @sanbenito #2 @taylorswift13  #3 @theweeknd #4 @Drake  #5 @BTS_twt  #6 @edsheeran #7 @justinbieber  #8 @Harry_Styles  #9 @kanyewest #10 @Eminem,en
18,1517563285335379970,2022-04-23,00:57:36,"rafa carmen ramen secret story cruel summer taylor swift  el audio tarda poquito empezar que nadie se asuste, he tenido que hacer algunos apaños para que fuese como yo quería  https://t.co/OJJLOVeRPa",es
19,1517562698644533248,2022-04-23,00:55:16,Cuando escucho Cruel Summer en el baño y recuerdo que no fue Single.  #TaylorSwift  https://t.co/LeaMyQPM6I,es
20,1517562414958579713,2022-04-23,00:54:09,ne demis queen taylor swift wages earned and lessons learned yani bedel.. ödendi✅ ders.. alındı✅,tr
21,1517562133306818571,2022-04-23,00:53:02,if taylor swift released mirrorball when i was in eighth grade i probably would’ve killed myself then,en
22,1517562056156848129,2022-04-23,00:52:43,📲 | @PostMalone started following @TaylorSwift13 on TikTok! (via @theswiftsociety)  https://t.co/ajc3H2Adou,en
23,1517562046778388480,2022-04-23,00:52:41,🚨 Post Malone started following Taylor Swift on TikTok. Taylor Swift is now her 31st following account.  https://t.co/3HsmT07W9Z,en
24,1517560946293493764,2022-04-23,00:48:19,don't blame me - taylor swift  https://t.co/ls1r6spdDo,en
25,1517560844334284801,2022-04-23,00:47:54,"Sin duda, Taylor Swift escribió London Boy pensando en Nick Nelson de #Heartstopper  https://t.co/Mv2gI3Z4vN",es
26,1517560521829937153,2022-04-23,00:46:37,heartstopper taylor swift edits are starting im convinced this is made for #Me  https://t.co/WBfbg3uauZ,en
27,1517560180816465921,2022-04-23,00:45:16,sinifta biri taylorli kilifimi gorup taylor swift dinleyen kizdan zarar gelmez dedi sen asil taylor swift dinleyen kizdan kork amk,tr
28,1517560175120601088,2022-04-23,00:45:15,I can’t wait to annoy my sister with Taylor swift facts for 36 hours straight this weekend,en
29,1517559371345055745,2022-04-23,00:42:03,"@w_white18 I feel like that we're in that Taylor Swift song ""LOVER"", cause this will be my 3rd summer with you....and... my names Lover 🤣🤣",en
30,1517559300159414272,2022-04-23,00:41:46,The meaning behind each track of Taylor Swift’s “evermore” album:  https://t.co/45lbM1YTek,en
31,1517559229992693760,2022-04-23,00:41:29,edvin             joe             🤝 avoiding the taylor  swift questions,en
32,1517558432659873793,2022-04-23,00:38:19,taylor swift escribiendo dress y false god:  https://t.co/i3yIHZZa25,en
33,1517558083240992768,2022-04-23,00:36:56,taylor swift the giant™️  https://t.co/58eNsIjSR3,en
34,1517557944463806469,2022-04-23,00:36:23,daily reminder that taylor swifts lockscreen is a photo of joe with benji  https://t.co/QSOdd1gYtN,en
35,1517557665261625344,2022-04-23,00:35:16,"""eu quero usar as iniciais dele em uma corrente no meu pescoço, não porque ele é o meu dono, mas porque ele realmente me conhece""  — Call It What You Want, Taylor Swift",pt
36,1517557648677392387,2022-04-23,00:35:12,"@YofavOGDaddy @comonacone @Ionglivesteelo @LittleBilly6988 @thoughtfulbae Taylor Swift sells a lot of records too but what relevance is that to the hip hop community. Pusha T is respected across the board by rap fans, critics, and peers. Drake definitely isn’t",en
37,1517557594839306244,2022-04-23,00:35:00,hi @taylorswift13 i miss you,en
38,1517557266253332480,2022-04-23,00:33:41,ATENTA!  Post Malone acaba de seguir Taylor Swift no TikTok.  https://t.co/0dOQm4uMn6,tl
39,1517557169129988096,2022-04-23,00:33:18,@saintdoz @taylorsricoht @PopBase @Drake @taylorswift13 Sadly,en
40,1517557124733321216,2022-04-23,00:33:08,taylor swift bir gün geleceksin inanıyorum o zamana kadar para biriktirmeye devam✍✍,tr
41,1517556945451892736,2022-04-23,00:32:25,"normal people: ""i thought you loved me, but you broke me""   taylor swift: ""you drew stars around my scars, but now i’m bleeding""",en
42,1517556893291466752,2022-04-23,00:32:12,"Itong roommate ko panay taylor swift ang tugtugan, naiiyak tuloy ako.",tl
43,1517556788844978178,2022-04-23,00:31:47,taylor swift está muito quieta,pt
44,1517556426478084096,2022-04-23,00:30:21,does your heart ever just go​          ♡     ♡       ♡     ♡     ♡              ♡              ♡    ♡            taylor             ♡​        ♡        swift            ♡​            ♡       🥺        ♡                 ♡        ♡                       ♡,en
45,1517556390822387712,2022-04-23,00:30:13,"Według TMZ, Drake i Taylor Swift nie mają w planach wydać wspólnej piosenki   ""Niestety NIE ma piosenki Drake'a i Taylor”  https://t.co/1JLgWh19Dp",pl
